order_id,date_id,customer_id,channel_id,store_id,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1000000515,20240101,733,1,,2644.0,2417,FULFILLED,ARS,14850.0,3118.5,900.0,18868.5
1000001476,20240101,1414,1,,2762.0,4047,PAID,ARS,40500.0,8505.0,1500.0,50505.0
1000001528,20240101,576,1,,1732.0,1114,FULFILLED,ARS,65550.0,13765.5,1200.0,80515.5
1000003024,20240101,785,1,,1276.0,1691,FULFILLED,ARS,12348.0,2593.08,1200.0,16141.08
1000003046,20240101,209,2,4.0,,4,FULFILLED,ARS,48510.0,10187.1,0.0,58697.1
1000003297,20240101,1415,2,4.0,2403.0,4,PAID,ARS,49162.5,10324.12,0.0,59486.62
1000005702,20240101,1042,2,2.0,3160.0,2,FULFILLED,ARS,15000.0,3150.0,0.0,18150.0
1000005769,20240101,349,1,,2584.0,2071,REFUNDED,ARS,14700.0,3087.0,1200.0,18987.0
1000006387,20240101,768,1,,1775.0,2359,FULFILLED,ARS,44688.0,9384.48,900.0,54972.48
1000007053,20240101,1074,1,,2913.0,2622,FULFILLED,ARS,24696.0,5186.16,900.0,30782.16
1000007187,20240101,487,1,,3557.0,2685,PAID,ARS,24000.0,5040.0,1200.0,30240.0
1000007507,20240101,691,1,,3766.0,1437,FULFILLED,ARS,50355.0,10574.55,0.0,60929.55
1000008269,20240101,498,2,4.0,3686.0,4,FULFILLED,ARS,39120.0,8215.2,0.0,47335.2
1000008841,20240101,1386,1,,3730.0,1094,FULFILLED,ARS,21600.0,4536.0,1200.0,27336.0
1000009757,20240101,88,1,,4082.0,2373,FULFILLED,ARS,32400.0,6804.0,1200.0,40404.0
1000010905,20240101,1290,1,,2268.0,1670,PAID,ARS,27000.0,5670.0,1200.0,33870.0
1000011308,20240101,1200,1,,3131.0,1450,FULFILLED,ARS,14962.5,3142.12,1500.0,19604.62
1000002455,20240102,449,1,,2237.0,4197,PAID,ARS,88500.0,18585.0,1200.0,108285.0
1000003012,20240102,104,2,4.0,3361.0,4,PAID,ARS,32400.0,6804.0,0.0,39204.0
1000003217,20240102,1204,1,,2542.0,1948,FULFILLED,ARS,36000.0,7560.0,1200.0,44760.0
1000003819,20240102,1323,2,2.0,3831.0,2,PAID,ARS,40500.0,8505.0,0.0,49005.0
1000004195,20240102,1311,1,,1019.0,3959,FULFILLED,ARS,12600.0,2646.0,1500.0,16746.0
1000005119,20240102,594,1,,4033.0,1789,FULFILLED,ARS,57900.0,12159.0,900.0,70959.0
1000005526,20240102,1335,1,,1869.0,3317,FULFILLED,ARS,10800.0,2268.0,1200.0,14268.0
1000006062,20240102,1263,1,,1773.0,4097,FULFILLED,ARS,9720.0,2041.2,900.0,12661.2
