shipment_id,shipped_date_id,delivered_date_id,customer_id,channel_id,store_id,shipping_address_id,carrier,tracking_number,status,shipped_at_time,delivered_at_time
9000003046,20240101,20240102,209,2,4.0,4,PICKUP,,DELIVERED,04:38:02,04:38:02
9000003297,20240101,20240102,1415,2,4.0,4,PICKUP,,SHIPPED,22:53:36,22:53:36
9000005702,20240101,20240102,1042,2,2.0,2,PICKUP,,DELIVERED,16:42:49,16:42:49
9000008269,20240101,20240102,498,2,4.0,4,PICKUP,,DELIVERED,06:57:42,06:57:42
9000000515,20240102,20240106,733,1,,2417,Correo Argentino,TRK-CXLZE639KW,DELIVERED,18:07:21,18:07:21
9000001476,20240102,20240104,1414,1,,4047,Correo Argentino,TRK-OB95N9GZW4,SHIPPED,22:29:03,22:29:03
9000001528,20240102,20240107,576,1,,1114,Correo Argentino,TRK-PIKSDX52DE,DELIVERED,12:54:18,12:54:18
9000003012,20240102,20240103,104,2,4.0,4,PICKUP,,SHIPPED,03:10:04,03:10:04
9000003024,20240102,20240107,785,1,,1691,Correo Argentino,TRK-QFU8LSZ8PU,DELIVERED,10:33:55,10:33:55
9000003819,20240102,20240103,1323,2,2.0,2,PICKUP,,SHIPPED,01:48:22,01:48:22
9000005769,20240102,20240107,349,1,,2071,Correo Argentino,TRK-HIWUUZD2NL,DELIVERED,18:20:27,18:20:27
9000006387,20240102,20240107,768,1,,2359,Correo Argentino,TRK-OSSH65AZHI,DELIVERED,21:10:13,21:10:13
9000007053,20240102,20240107,1074,1,,2622,Correo Argentino,TRK-Y0K1DOI81O,DELIVERED,23:38:12,23:38:12
9000007187,20240102,20240105,487,1,,2685,Correo Argentino,TRK-JQVG881WCJ,SHIPPED,17:01:27,17:01:27
9000007507,20240102,20240107,691,1,,1437,Correo Argentino,TRK-A4YALSUI2D,DELIVERED,04:01:10,04:01:10
9000008330,20240102,20240103,308,2,3.0,3,PICKUP,,DELIVERED,00:19:18,00:19:18
9000008841,20240102,20240104,1386,1,,1094,Correo Argentino,TRK-A3Q1GMV2ME,DELIVERED,16:03:41,16:03:41
9000009757,20240102,20240107,88,1,,2373,Correo Argentino,TRK-665T9QMKF3,DELIVERED,23:36:04,23:36:04
9000010905,20240102,20240105,1290,1,,1670,Correo Argentino,TRK-M9R2MC0FCC,SHIPPED,21:43:48,21:43:48
9000011308,20240102,20240107,1200,1,,1450,Correo Argentino,TRK-MD41S0AGQP,DELIVERED,09:49:48,09:49:48
9000011963,20240102,20240103,607,2,1.0,1,PICKUP,,DELIVERED,11:44:37,11:44:37
9000001338,20240103,20240104,1303,2,1.0,1,PICKUP,,DELIVERED,09:35:02,09:35:02
9000002455,20240103,20240110,449,1,,4197,Correo Argentino,TRK-V278RILYLI,SHIPPED,01:37:18,01:37:18
9000003217,20240103,20240107,1204,1,,1948,Correo Argentino,TRK-MF90KUWQ2G,DELIVERED,14:28:29,14:28:29
9000003578,20240103,20240104,304,2,3.0,3,PICKUP,,DELIVERED,18:28:29,18:28:29
9000003934,20240103,20240104,868,2,1.0,1,PICKUP,,DELIVERED,00:37:07,00:37:07
9000004195,20240103,20240106,1311,1,,3959,Correo Argentino,TRK-72WRPDGULT,DELIVERED,02:10:03,02:10:03
9000005119,20240103,20240106,594,1,,1789,Correo Argentino,TRK-ZTVN5UGOG4,DELIVERED,11:33:52,11:33:52
9000005526,20240103,20240108,1335,1,,3317,Correo Argentino,TRK-6L52Y73J3N,DELIVERED,01:01:50,01:01:50
9000006062,20240103,20240105,1263,1,,4097,Correo Argentino,TRK-DPC71C5VHP,DELIVERED,15:28:56,15:28:56
9000006234,20240103,20240106,1346,1,,3961,Correo Argentino,TRK-QYK08NE13F,DELIVERED,07:39:50,07:39:50
9000006859,20240103,20240105,1101,1,,1925,Correo Argentino,TRK-6I3X59X4IB,DELIVERED,20:11:48,20:11:48
9000006937,20240103,20240107,1390,1,,4060,Correo Argentino,TRK-KIJ2VY0U6R,SHIPPED,08:43:10,08:43:10
9000007550,20240103,20240106,597,1,,3570,Correo Argentino,TRK-FNR3M5BTGO,DELIVERED,03:01:09,03:01:09
