order_item_id,date_id,product_sk,customer_sk,channel_sk,store_sk,quantity,unit_price,discount_amount,line_total
5000000687,20240101,2,733,1,,1,16500.0,1650.0,14850.0
5000001951,20240101,2,1414,1,,3,15000.0,4500.0,40500.0
5000002021,20240101,2,576,1,,3,15000.0,2250.0,42750.0
5000002022,20240101,1,576,1,,2,12000.0,1200.0,22800.0
5000004041,20240101,1,785,1,,1,12600.0,252.0,12348.0
5000004077,20240101,2,209,2,4.0,3,16500.0,990.0,48510.0
5000004404,20240101,1,1415,2,4.0,3,12000.0,1800.0,34200.0
5000004405,20240101,2,1415,2,4.0,1,15750.0,787.5,14962.5
5000007642,20240101,2,1042,2,2.0,1,15000.0,0.0,15000.0
5000007731,20240101,2,349,1,,1,15000.0,300.0,14700.0
5000008569,20240101,1,768,1,,2,10800.0,432.0,21168.0
5000008570,20240101,1,768,1,,2,12000.0,480.0,23520.0
5000009469,20240101,1,1074,1,,2,12600.0,504.0,24696.0
5000009656,20240101,1,487,1,,2,12000.0,0.0,24000.0
5000010081,20240101,2,691,1,,1,15750.0,315.0,15435.0
5000010082,20240101,1,691,1,,1,12000.0,600.0,11400.0
5000010083,20240101,1,691,1,,2,12000.0,480.0,23520.0
5000011104,20240101,2,498,2,4.0,2,15000.0,600.0,29400.0
5000011105,20240101,1,498,2,4.0,1,10800.0,1080.0,9720.0
5000011896,20240101,1,1386,1,,2,12000.0,2400.0,21600.0
5000013117,20240101,1,88,1,,3,12000.0,3600.0,32400.0
5000014662,20240101,2,1290,1,,2,15000.0,3000.0,27000.0
5000015219,20240101,2,1200,1,,1,15750.0,787.5,14962.5
5000003257,20240102,1,449,1,,2,12000.0,2400.0,21600.0
5000003258,20240102,1,449,1,,2,12000.0,1200.0,22800.0
5000003259,20240102,2,449,1,,3,15000.0,900.0,44100.0
5000004021,20240102,1,104,2,4.0,3,12000.0,3600.0,32400.0
5000004303,20240102,1,1204,1,,3,12000.0,0.0,36000.0
5000005106,20240102,2,1323,2,2.0,3,15000.0,4500.0,40500.0
5000005614,20240102,1,1311,1,,1,12600.0,0.0,12600.0
5000006877,20240102,2,594,1,,2,15000.0,1500.0,28500.0
5000006878,20240102,2,594,1,,2,15000.0,600.0,29400.0
5000007398,20240102,1,1335,1,,1,10800.0,0.0,10800.0
5000008121,20240102,1,1263,1,,1,10800.0,1080.0,9720.0
5000008358,20240102,1,1346,1,,2,12000.0,480.0,23520.0
5000009202,20240102,1,1101,1,,1,10800.0,540.0,10260.0
5000009306,20240102,2,1390,1,,2,15000.0,600.0,29400.0
5000010137,20240102,1,597,1,,1,13200.0,264.0,12936.0
5000010836,20240102,2,1149,1,,2,15000.0,600.0,29400.0
5000010837,20240102,2,1149,1,,2,13500.0,540.0,26460.0
5000011189,20240102,1,308,2,3.0,3,12000.0,0.0,36000.0
5000011374,20240102,2,1342,1,,2,15750.0,3150.0,28350.0
5000011558,20240102,2,574,1,,1,16500.0,1650.0,14850.0
5000011559,20240102,1,574,1,,3,12000.0,1800.0,34200.0
5000011560,20240102,1,574,1,,2,12000.0,1200.0,22800.0
5000011758,20240102,1,719,1,,1,12000.0,1200.0,10800.0
5000011915,20240102,1,886,1,,2,12600.0,1260.0,23940.0
5000012022,20240102,1,129,2,4.0,2,12000.0,1200.0,22800.0
5000012638,20240102,2,287,1,,2,13500.0,0.0,27000.0
5000012639,20240102,2,287,1,,3,13500.0,810.0,39690.0
5000012912,20240102,2,948,1,,1,15000.0,0.0,15000.0
5000012942,20240102,2,887,1,,2,16500.0,1650.0,31350.0
5000013253,20240102,1,1287,1,,2,10800.0,1080.0,20520.0
5000014592,20240102,1,361,1,,3,12000.0,3600.0,32400.0
5000014593,20240102,1,361,1,,2,12000.0,0.0,24000.0
5000014651,20240102,2,6,1,,3,15000.0,2250.0,42750.0
5000016107,20240102,1,607,2,1.0,2,13200.0,2640.0,23760.0
5000016108,20240102,1,607,2,1.0,2,12000.0,480.0,23520.0
5000000191,20240103,1,1240,1,,3,12000.0,1800.0,34200.0
5000001004,20240103,2,196,1,,2,15000.0,3000.0,27000.0
5000001755,20240103,1,1303,2,1.0,1,10800.0,540.0,10260.0
5000001756,20240103,2,1303,2,1.0,2,15000.0,1500.0,28500.0
5000001955,20240103,1,489,1,,3,12600.0,0.0,37800.0
5000004773,20240103,2,485,1,,3,15000.0,4500.0,40500.0
5000004787,20240103,1,304,2,3.0,2,12600.0,0.0,25200.0
5000004972,20240103,2,1210,1,,2,15000.0,0.0,30000.0
5000005255,20240103,1,868,2,1.0,2,12000.0,1200.0,22800.0
5000005404,20240103,2,1340,1,,3,15000.0,0.0,45000.0
5000008307,20240103,2,311,1,,2,16500.0,0.0,33000.0
5000009436,20240103,1,701,1,,3,13200.0,1980.0,37620.0
5000009437,20240103,1,701,1,,2,12000.0,1200.0,22800.0
5000009438,20240103,2,701,1,,2,13500.0,1350.0,25650.0
5000012926,20240103,1,54,1,,2,13200.0,0.0,26400.0
5000012927,20240103,1,54,1,,2,12600.0,504.0,24696.0
5000013079,20240103,2,757,1,,2,15000.0,1500.0,28500.0
5000013668,20240103,1,100,2,4.0,1,12000.0,0.0,12000.0
5000013841,20240103,2,75,2,3.0,3,15000.0,900.0,44100.0
5000013842,20240103,2,75,2,3.0,3,15000.0,0.0,45000.0
5000015211,20240103,2,1268,1,,3,13500.0,2025.0,38475.0
5000015212,20240103,1,1268,1,,2,10800.0,1080.0,20520.0
5000015293,20240103,2,874,1,,3,15000.0,4500.0,40500.0
5000015537,20240103,2,1016,1,,2,15750.0,0.0,31500.0
5000015709,20240103,2,437,1,,3,15000.0,0.0,45000.0
5000015710,20240103,1,437,1,,2,12000.0,480.0,23520.0
5000015711,20240103,2,437,1,,1,13500.0,1350.0,12150.0
5000015863,20240103,1,1323,1,,2,13200.0,0.0,26400.0
5000000585,20240104,1,592,1,,2,12000.0,1200.0,22800.0
5000001246,20240104,2,1471,2,2.0,3,13500.0,810.0,39690.0
5000001247,20240104,2,1471,2,2.0,1,15000.0,300.0,14700.0
5000001940,20240104,1,703,1,,1,12000.0,1200.0,10800.0
5000002779,20240104,2,631,1,,1,15000.0,750.0,14250.0
5000002780,20240104,1,631,1,,1,12000.0,600.0,11400.0
5000003977,20240104,1,487,1,,3,12000.0,1800.0,34200.0
5000005157,20240104,2,1246,2,3.0,2,15000.0,600.0,29400.0
5000005158,20240104,1,1246,2,3.0,1,12000.0,240.0,11760.0
5000005349,20240104,1,609,1,,1,12000.0,600.0,11400.0
5000006879,20240104,2,719,1,,2,16500.0,660.0,32340.0
5000008942,20240104,1,668,2,2.0,1,13200.0,1320.0,11880.0
5000009513,20240104,2,1468,2,2.0,3,15000.0,4500.0,40500.0
5000009514,20240104,2,1468,2,2.0,3,13500.0,4050.0,36450.0
5000009515,20240104,2,1468,2,2.0,1,15000.0,0.0,15000.0
5000014793,20240104,1,353,1,,2,12000.0,0.0,24000.0
5000014923,20240104,2,1268,2,2.0,1,15000.0,750.0,14250.0
5000015598,20240104,2,1478,2,2.0,3,15000.0,0.0,45000.0
5000015741,20240104,1,1129,2,3.0,1,13200.0,1320.0,11880.0
5000015865,20240104,2,124,1,,1,15000.0,1500.0,13500.0
5000016126,20240104,1,741,2,1.0,1,12600.0,0.0,12600.0
5000016127,20240104,1,741,2,1.0,2,12000.0,1200.0,22800.0
5000000946,20240105,1,1406,2,4.0,1,12000.0,0.0,12000.0
5000001358,20240105,2,645,1,,3,15000.0,900.0,44100.0
5000002331,20240105,1,545,2,4.0,3,12000.0,1800.0,34200.0
5000002332,20240105,2,545,2,4.0,2,15000.0,1500.0,28500.0
5000002925,20240105,1,37,1,,1,12000.0,0.0,12000.0
5000004676,20240105,1,117,2,1.0,1,10800.0,1080.0,9720.0
5000008578,20240105,2,575,1,,2,15000.0,0.0,30000.0
5000008687,20240105,1,61,2,1.0,3,12000.0,3600.0,32400.0
5000008796,20240105,1,778,2,1.0,3,12000.0,720.0,35280.0
5000009168,20240105,1,565,1,,3,12000.0,720.0,35280.0
5000009248,20240105,2,1060,2,2.0,3,15000.0,0.0,45000.0
5000012854,20240105,2,162,1,,3,15000.0,4500.0,40500.0
5000013218,20240105,2,644,2,2.0,2,15000.0,3000.0,27000.0
5000013219,20240105,2,644,2,2.0,2,15000.0,0.0,30000.0
5000013555,20240105,2,462,2,1.0,2,15000.0,0.0,30000.0
5000014415,20240105,1,174,1,,1,12000.0,600.0,11400.0
5000015416,20240105,1,1471,2,4.0,3,10800.0,0.0,32400.0
5000015417,20240105,1,1471,2,4.0,1,12600.0,630.0,11970.0
5000015418,20240105,2,1471,2,4.0,2,13500.0,2700.0,24300.0
5000015682,20240105,2,1234,1,,2,15000.0,1500.0,28500.0
5000015683,20240105,1,1234,1,,1,12600.0,1260.0,11340.0
5000015976,20240105,1,1091,1,,1,12000.0,240.0,11760.0
5000015977,20240105,1,1091,1,,1,12000.0,600.0,11400.0
5000000185,20240106,1,279,2,3.0,3,12000.0,720.0,35280.0
5000000186,20240106,2,279,2,3.0,2,15000.0,3000.0,27000.0
5000003821,20240106,1,637,2,4.0,3,12000.0,0.0,36000.0
5000004559,20240106,1,241,2,4.0,1,12000.0,1200.0,10800.0
5000004818,20240106,2,535,1,,1,15000.0,750.0,14250.0
5000006049,20240106,2,1363,1,,2,13500.0,0.0,27000.0
5000007212,20240106,2,27,2,4.0,2,13500.0,0.0,27000.0
5000007451,20240106,1,825,1,,1,12000.0,600.0,11400.0
5000007675,20240106,1,75,1,,1,12000.0,240.0,11760.0
5000007676,20240106,1,75,1,,2,12600.0,2520.0,22680.0
5000011554,20240106,1,1456,1,,3,12000.0,0.0,36000.0
5000011557,20240106,2,112,1,,3,15000.0,2250.0,42750.0
5000011699,20240106,1,1311,1,,2,12600.0,504.0,24696.0
5000011916,20240106,1,235,1,,1,12000.0,600.0,11400.0
5000012571,20240106,2,114,2,4.0,1,15750.0,315.0,15435.0
5000012800,20240106,1,752,1,,3,12000.0,1800.0,34200.0
5000014844,20240106,1,227,1,,3,12600.0,3780.0,34020.0
5000014845,20240106,1,227,1,,2,12000.0,1200.0,22800.0
5000000681,20240107,2,457,1,,3,16500.0,0.0,49500.0
5000001023,20240107,1,1043,1,,3,12000.0,3600.0,32400.0
5000002878,20240107,1,381,1,,1,12000.0,240.0,11760.0
5000004576,20240107,1,396,2,2.0,3,12000.0,1800.0,34200.0
5000004846,20240107,1,1277,2,1.0,2,12000.0,2400.0,21600.0
5000005020,20240107,1,387,1,,2,10800.0,1080.0,20520.0
5000005021,20240107,2,387,1,,1,13500.0,1350.0,12150.0
5000005618,20240107,2,1111,1,,2,15750.0,630.0,30870.0
5000007148,20240107,2,164,1,,3,16500.0,2475.0,47025.0
5000007425,20240107,1,1456,2,4.0,1,10800.0,216.0,10584.0
5000009477,20240107,1,346,2,2.0,1,10800.0,540.0,10260.0
5000009478,20240107,1,346,2,2.0,1,12000.0,240.0,11760.0
5000010489,20240107,1,817,2,3.0,2,12000.0,480.0,23520.0
5000010490,20240107,1,817,2,3.0,2,10800.0,432.0,21168.0
5000011551,20240107,1,1336,2,1.0,2,10800.0,432.0,21168.0
5000011552,20240107,1,1336,2,1.0,2,12000.0,1200.0,22800.0
5000011914,20240107,2,664,1,,1,15000.0,1500.0,13500.0
5000013376,20240107,1,1415,1,,3,12000.0,720.0,35280.0
5000013614,20240107,2,505,2,2.0,3,15750.0,0.0,47250.0
5000013615,20240107,1,505,2,2.0,3,12000.0,720.0,35280.0
5000016019,20240107,2,808,1,,2,16500.0,3300.0,29700.0
5000016020,20240107,2,808,1,,3,15000.0,2250.0,42750.0
5000000210,20240108,1,385,2,2.0,1,10800.0,1080.0,9720.0
5000000644,20240108,1,445,1,,1,12000.0,0.0,12000.0
5000000920,20240108,1,1158,2,2.0,2,12000.0,2400.0,21600.0
5000001891,20240108,2,890,2,4.0,3,15000.0,0.0,45000.0
5000002230,20240108,2,166,1,,1,13500.0,675.0,12825.0
5000002756,20240108,1,1261,2,3.0,3,12000.0,3600.0,32400.0
5000002757,20240108,2,1261,2,3.0,3,15000.0,900.0,44100.0
5000002822,20240108,2,373,1,,2,15000.0,3000.0,27000.0
5000003177,20240108,1,1216,1,,3,13200.0,0.0,39600.0
5000005649,20240108,1,677,1,,1,12000.0,240.0,11760.0
5000006214,20240108,1,1359,1,,3,13200.0,0.0,39600.0
5000007622,20240108,1,1038,1,,3,10800.0,0.0,32400.0
5000011593,20240108,2,584,2,1.0,1,13500.0,0.0,13500.0
5000012085,20240108,2,460,1,,2,15750.0,3150.0,28350.0
5000012456,20240108,1,1216,2,3.0,1,12000.0,0.0,12000.0
5000013722,20240108,1,417,1,,2,12000.0,480.0,23520.0
5000000969,20240109,1,1036,1,,3,12000.0,0.0,36000.0
5000001239,20240109,1,58,2,3.0,1,12000.0,1200.0,10800.0
5000001240,20240109,2,58,2,3.0,1,15750.0,315.0,15435.0
5000002047,20240109,1,739,2,3.0,2,12000.0,2400.0,21600.0
5000002186,20240109,1,741,1,,2,12000.0,2400.0,21600.0
5000002196,20240109,1,156,2,2.0,2,10800.0,0.0,21600.0
5000003183,20240109,1,536,1,,3,12000.0,3600.0,32400.0
5000003252,20240109,1,377,2,4.0,1,12000.0,600.0,11400.0
5000003253,20240109,2,377,2,4.0,3,15000.0,0.0,45000.0
5000003281,20240109,2,520,1,,3,13500.0,0.0,40500.0
5000003357,20240109,1,991,2,2.0,1,12000.0,240.0,11760.0
5000003358,20240109,1,991,2,2.0,1,12600.0,0.0,12600.0
5000003961,20240109,2,18,2,3.0,3,15000.0,0.0,45000.0
5000004413,20240109,2,1223,2,1.0,2,16500.0,660.0,32340.0
5000004414,20240109,2,1223,2,1.0,3,15000.0,2250.0,42750.0
5000004511,20240109,1,936,2,4.0,1,12000.0,600.0,11400.0
5000004512,20240109,1,936,2,4.0,2,12000.0,2400.0,21600.0
5000005752,20240109,1,1320,2,2.0,1,13200.0,1320.0,11880.0
5000006763,20240109,1,147,2,4.0,1,12000.0,240.0,11760.0
5000006860,20240109,1,247,2,4.0,3,12000.0,3600.0,32400.0
5000006905,20240109,1,1367,1,,3,12000.0,0.0,36000.0
5000009246,20240109,2,754,1,,2,15000.0,0.0,30000.0
5000009528,20240109,1,1204,1,,3,13200.0,1980.0,37620.0
5000009529,20240109,2,1204,1,,1,15000.0,750.0,14250.0
5000009903,20240109,1,1001,1,,3,12000.0,3600.0,32400.0
5000009904,20240109,2,1001,1,,2,15000.0,600.0,29400.0
