session_id,started_date_id,ended_date_id,customer_sk,source,device,started_at_time,ended_at_time
11000000088,20240101,20240101,927.0,ads,tablet,00:43:15,01:16:15
11000000533,20240101,20240101,520.0,direct,desktop,18:05:14,18:38:14
11000001012,20240101,20240101,966.0,referral,desktop,19:49:56,20:30:56
11000001060,20240101,20240101,349.0,email,mobile,21:22:16,22:17:16
11000001979,20240101,20240101,1173.0,referral,mobile,14:05:01,14:32:01
11000002014,20240101,20240101,310.0,ads,mobile,22:13:21,22:18:21
11000002168,20240101,20240101,,email,desktop,21:45:13,22:42:13
11000002540,20240101,20240101,221.0,ads,mobile,07:10:13,08:10:13
11000004163,20240101,20240102,,direct,desktop,23:05:29,00:05:29
11000004731,20240101,20240101,1121.0,referral,mobile,23:02:16,23:29:16
11000005026,20240101,20240101,592.0,referral,mobile,07:35:08,07:40:08
11000005244,20240101,20240101,,referral,mobile,14:43:25,14:54:25
11000005883,20240101,20240101,1236.0,ads,mobile,16:34:09,17:03:09
11000006158,20240101,20240101,1371.0,social,mobile,01:40:46,02:32:46
11000006178,20240101,20240101,,direct,mobile,01:03:40,01:20:40
11000006614,20240101,20240101,1371.0,social,mobile,16:12:03,16:17:03
11000006754,20240101,,278.0,ads,mobile,18:09:32,
11000008049,20240101,20240101,,referral,mobile,02:19:04,03:02:04
11000009102,20240101,20240101,,direct,mobile,07:31:10,08:25:10
11000010794,20240101,20240101,1062.0,direct,mobile,06:25:23,06:39:23
11000012314,20240101,20240101,310.0,direct,mobile,11:51:05,12:46:05
11000013138,20240101,,420.0,referral,desktop,18:14:56,
11000013551,20240101,20240101,,ads,desktop,18:38:37,19:11:37
11000013713,20240101,20240101,,direct,mobile,00:45:11,00:59:11
11000014112,20240101,20240101,998.0,ads,mobile,23:12:00,23:21:00
11000014581,20240101,20240101,560.0,direct,mobile,22:35:40,22:40:40
11000014694,20240101,20240101,984.0,direct,mobile,18:27:06,18:36:06
11000015376,20240101,20240101,636.0,direct,desktop,15:10:55,16:00:55
11000016196,20240101,20240101,1306.0,direct,desktop,07:42:22,07:55:22
11000016655,20240101,20240101,326.0,ads,desktop,12:49:30,13:49:30
11000017401,20240101,20240101,,direct,mobile,12:33:15,13:05:15
11000019141,20240101,20240101,905.0,ads,mobile,11:59:50,12:54:50
11000019157,20240101,20240101,,direct,desktop,20:05:46,20:36:46
11000020534,20240101,20240101,,social,mobile,21:31:45,22:05:45
11000020573,20240101,20240101,1410.0,referral,desktop,00:46:46,00:47:46
11000021449,20240101,20240101,1171.0,direct,desktop,14:27:48,15:19:48
11000022202,20240101,20240101,251.0,direct,desktop,16:52:35,16:56:35
11000022312,20240101,20240101,556.0,ads,desktop,15:14:57,15:49:57
11000022900,20240101,20240101,,ads,mobile,15:24:46,16:09:46
11000023142,20240101,20240101,1188.0,referral,mobile,23:35:48,23:43:48
11000023202,20240101,20240101,1012.0,direct,mobile,09:39:59,09:47:59
11000023222,20240101,20240101,,ads,desktop,00:17:04,00:53:04
11000023763,20240101,20240101,,referral,desktop,07:15:07,08:13:07
11000024511,20240101,20240101,1013.0,direct,desktop,22:28:28,22:54:28
11000025208,20240101,20240101,1478.0,direct,desktop,06:46:04,07:12:04
11000026058,20240101,20240101,1069.0,direct,desktop,20:54:47,21:34:47
11000026398,20240101,20240101,231.0,direct,tablet,03:51:00,04:12:00
11000026799,20240101,20240101,,direct,mobile,10:34:57,11:19:57
11000030101,20240101,20240101,,direct,desktop,17:40:07,18:40:07
11000030784,20240101,20240101,839.0,direct,mobile,15:29:12,15:32:12
11000031088,20240101,20240101,1470.0,direct,mobile,15:54:42,16:53:42
11000031156,20240101,20240101,419.0,ads,mobile,02:22:48,03:17:48
11000031630,20240101,20240101,,direct,desktop,19:56:54,20:40:54
11000032761,20240101,20240101,1151.0,email,desktop,16:10:28,16:45:28
11000033545,20240101,20240101,,ads,mobile,12:57:24,13:30:24
11000033932,20240101,20240101,1191.0,referral,mobile,00:05:07,00:22:07
11000033984,20240101,20240101,924.0,ads,desktop,07:45:34,08:40:34
11000034137,20240101,,1346.0,direct,mobile,08:06:28,
11000034464,20240101,20240101,,referral,desktop,02:11:52,02:24:52
11000034875,20240101,20240101,1277.0,direct,desktop,22:30:53,23:16:53
11000034989,20240101,20240101,197.0,referral,tablet,14:15:20,14:56:20
11000035592,20240101,20240101,222.0,referral,mobile,12:42:45,13:29:45
11000036340,20240101,20240101,,direct,desktop,19:28:12,19:36:12
11000037035,20240101,20240101,,direct,mobile,15:12:24,15:54:24
11000037085,20240101,20240101,,ads,mobile,01:27:24,01:46:24
11000037396,20240101,20240101,,direct,desktop,19:33:02,20:13:02
11000037708,20240101,20240101,418.0,direct,mobile,15:15:08,15:55:08
11000038191,20240101,20240101,479.0,ads,mobile,07:54:28,08:25:28
11000038356,20240101,20240101,949.0,social,desktop,08:30:49,09:01:49
11000038571,20240101,,525.0,social,tablet,17:43:39,
11000039536,20240101,20240101,,ads,desktop,02:51:54,03:20:54
11000039674,20240101,20240101,504.0,ads,desktop,02:48:05,03:25:05
11000040719,20240101,20240101,,ads,mobile,04:17:03,04:56:03
11000040827,20240101,20240101,,email,mobile,20:32:47,21:09:47
11000041768,20240101,20240101,13.0,direct,mobile,02:07:43,02:10:43
11000042667,20240101,20240101,1464.0,email,mobile,22:10:29,22:14:29
11000042914,20240101,20240101,1249.0,direct,desktop,22:33:13,23:05:13
11000044277,20240101,20240101,,ads,desktop,19:16:17,19:52:17
11000044406,20240101,20240101,598.0,ads,mobile,06:52:38,07:21:38
11000044601,20240101,20240101,1032.0,ads,mobile,20:54:23,21:20:23
11000044828,20240101,20240101,773.0,email,tablet,14:25:54,14:58:54
11000044880,20240101,20240101,891.0,social,mobile,16:26:07,17:17:07
11000045457,20240101,20240102,681.0,ads,mobile,23:59:28,00:57:28
11000045490,20240101,20240101,,direct,mobile,22:33:47,22:50:47
11000045492,20240101,20240101,,ads,mobile,10:50:07,11:12:07
11000045816,20240101,,1333.0,referral,mobile,23:24:06,
11000045849,20240101,20240101,,ads,mobile,02:07:26,02:52:26
11000046334,20240101,20240101,124.0,ads,tablet,18:34:49,19:19:49
11000046801,20240101,20240101,336.0,direct,mobile,22:53:32,23:42:32
11000048503,20240101,20240101,,referral,tablet,04:08:02,04:33:02
11000048632,20240101,20240101,1296.0,social,mobile,18:07:26,18:36:26
11000051599,20240101,20240101,218.0,referral,mobile,19:47:45,19:58:45
11000052321,20240101,20240101,639.0,referral,tablet,15:36:57,16:16:57
11000052386,20240101,20240101,300.0,direct,mobile,19:44:44,20:24:44
11000052407,20240101,,403.0,social,mobile,21:59:08,
11000053024,20240101,20240101,,ads,mobile,22:12:09,22:38:09
11000053125,20240101,20240101,,ads,mobile,12:44:04,13:20:04
11000053334,20240101,20240101,1040.0,ads,mobile,11:59:31,12:19:31
11000053493,20240101,20240101,265.0,ads,desktop,07:19:10,07:29:10
11000053612,20240101,20240101,,ads,tablet,20:13:07,20:50:07
11000053980,20240101,20240101,251.0,direct,desktop,04:22:33,05:13:33
11000054296,20240101,20240101,1227.0,direct,mobile,00:01:41,00:34:41
11000054427,20240101,,569.0,direct,mobile,21:05:57,
11000054576,20240101,20240101,836.0,ads,mobile,03:12:59,03:45:59
11000054802,20240101,20240101,625.0,ads,mobile,06:19:53,06:36:53
11000056848,20240101,20240101,1071.0,email,mobile,14:11:48,14:28:48
11000057392,20240101,20240101,330.0,ads,mobile,00:05:25,00:40:25
11000058794,20240101,20240101,346.0,direct,desktop,11:29:17,12:15:17
11000059411,20240101,20240102,205.0,email,desktop,23:49:48,00:37:48
11000060561,20240101,20240101,963.0,email,mobile,21:17:17,21:52:17
11000060902,20240101,20240101,533.0,direct,mobile,19:50:11,20:38:11
11000062567,20240101,20240101,581.0,referral,tablet,07:06:14,07:50:14
11000062649,20240101,20240101,,social,mobile,02:07:29,02:33:29
11000063356,20240101,,1407.0,email,desktop,19:34:34,
11000064300,20240101,,1196.0,direct,mobile,20:11:35,
11000064694,20240101,20240101,1429.0,direct,mobile,05:39:09,06:25:09
11000065563,20240101,20240101,3.0,direct,mobile,03:00:07,03:24:07
11000065731,20240101,20240101,16.0,direct,mobile,02:24:31,03:21:31
11000067945,20240101,20240101,747.0,direct,desktop,03:43:21,04:23:21
11000068378,20240101,20240101,1483.0,direct,desktop,09:36:02,10:09:02
11000070571,20240101,20240101,456.0,ads,desktop,20:00:57,20:17:57
11000070661,20240101,20240101,397.0,direct,desktop,19:03:26,19:51:26
11000071217,20240101,20240101,115.0,direct,desktop,22:04:33,22:25:33
11000074764,20240101,20240101,,direct,mobile,09:35:48,09:38:48
11000075785,20240101,20240101,,ads,mobile,22:42:57,23:09:57
11000076100,20240101,20240101,15.0,ads,mobile,11:38:12,12:27:12
11000078490,20240101,20240101,,direct,mobile,17:59:40,18:46:40
11000079134,20240101,20240101,,direct,mobile,04:32:51,05:14:51
11000079413,20240101,20240101,1145.0,ads,mobile,10:58:22,11:24:22
11000079845,20240101,20240101,1321.0,social,desktop,18:57:03,19:00:03
11000080170,20240101,20240101,,direct,mobile,04:38:17,04:59:17
11000081031,20240101,20240101,1247.0,direct,mobile,11:29:53,11:52:53
11000081925,20240101,20240101,,direct,mobile,20:00:51,20:09:51
11000082991,20240101,20240101,,referral,mobile,09:04:51,09:15:51
11000083070,20240101,20240102,604.0,social,mobile,23:48:48,00:04:48
11000084090,20240101,20240101,,ads,mobile,14:28:15,14:40:15
11000084355,20240101,20240101,,direct,desktop,20:00:18,20:16:18
11000085314,20240101,20240101,,direct,mobile,20:57:12,21:43:12
11000086630,20240101,20240101,869.0,ads,mobile,17:23:29,17:51:29
11000088492,20240101,20240101,,referral,desktop,17:05:21,17:39:21
11000088667,20240101,20240101,1302.0,referral,mobile,01:59:51,02:17:51
11000089204,20240101,20240101,1484.0,ads,mobile,16:06:40,17:04:40
11000089273,20240101,20240101,1039.0,direct,desktop,01:03:17,01:20:17
11000000026,20240102,,,direct,mobile,22:43:00,
11000000713,20240102,20240102,,ads,mobile,21:10:01,21:46:01
11000001228,20240102,20240102,286.0,direct,desktop,20:58:32,21:51:32
11000002413,20240102,20240102,1434.0,social,mobile,19:32:23,20:03:23
11000003491,20240102,20240102,1234.0,email,desktop,10:57:30,11:46:30
11000005142,20240102,20240102,332.0,ads,mobile,09:21:22,10:02:22
11000007340,20240102,20240102,56.0,ads,mobile,20:41:49,21:22:49
